split,n,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_macro,auc_weighted
TRAIN,39,0.46153846153846156,0.42622180451127817,0.5451388888888888,0.4588530838530839,0.438885675727781,0.46153846153846156,0.44277413508182745,0.675639685384309,0.5939405079190025
VAL,25,0.48,0.5072115384615384,0.4571078431372549,0.4167857142857143,0.7734615384615384,0.48,0.5479428571428572,0.6327985739750446,0.8072727272727271
TEST,50,0.4,0.3006410256410256,0.28186813186813187,0.2647597500538677,0.514,0.4,0.4117086834733893,0.6699493142516398,0.6168815060908085
