split,n,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_macro,auc_weighted
TRAIN (features ampliados),39,0.6153846153846154,0.5572916666666666,0.6319444444444444,0.5902014652014652,0.5064102564102564,0.6153846153846154,0.5548041701887856,0.7044646412925983,0.6654369127487407
VAL (features ampliados),25,0.8,0.5892857142857143,0.6911764705882353,0.6096774193548387,0.842857142857143,0.8,0.8023225806451613,0.950924688057041,0.9707575757575758
TEST (features ampliados),50,0.62,0.3181818181818182,0.39679487179487183,0.33987403100775193,0.5518181818181818,0.62,0.5636821705426357,0.6996644731237754,0.7702403100775195
